
"Município";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"311270 Capitão Enéas";1214;1498;1659;1671;1324;1142;1001;898;892;754;655;473;379;314;284;132;177;14467
"311280 Capitólio";505;565;646;651;621;642;636;693;605;639;541;484;365;221;179;165;175;8333
"311290 Caputira";729;803;885;822;763;704;683;633;603;562;476;397;305;268;215;152;196;9196
"311300 Caraí";2078;2417;2577;2372;1984;1690;1395;1234;1246;1101;999;952;696;625;577;409;402;22754
"311310 Caranaíba";199;255;316;309;255;239;224;239;229;252;194;179;120;106;98;73;61;3348
"311320 Carandaí";1519;1799;1991;2168;1981;1886;1813;1705;1800;1722;1497;1146;912;644;476;361;355;23775
"311330 Carangola";2018;2322;2758;2722;2579;2558;2408;2233;2274;2287;2083;1813;1457;1024;875;634;844;32889
"311340 Caratinga";6100;6897;7587;7384;7479;7310;7001;6325;5936;5400;4763;4126;3024;2438;2050;1448;1537;86805
"311350 Carbonita";641;803;967;1021;756;727;655;607;632;588;439;382;313;252;219;148;166;9316
"311360 Careaçu";454;530;549;512;469;509;477;493;447;392;403;328;256;190;156;126;123;6414
"311370 Carlos Chagas";1336;1515;1824;1910;1746;1539;1443;1377;1362;1254;1162;977;818;693;563;384;535;20438
"311380 Carmésia";185;218;255;213;196;162;176;182;154;167;110;126;99;87;70;32;59;2491
"311390 Carmo da Cachoeira";945;995;1146;1170;1005;951;833;838;811;794;676;566;430;293;248;178;174;12053
"311400 Carmo da Mata";640;825;966;923;820;851;853;806;855;761;659;547;457;369;308;218;270;11128
"311410 Carmo de Minas";1079;1149;1374;1301;1193;1181;1069;977;910;873;758;632;462;349;270;198;228;14003
"311420 Carmo do Cajuru";1389;1487;1866;1746;1686;1679;1651;1566;1506;1397;1140;881;791;572;428;277;318;20380
"311430 Carmo do Paranaíba";1844;2118;2515;2570;2270;2360;2329;2331;2273;2186;1909;1556;1215;979;713;553;560;30281
"311440 Carmo do Rio Claro";1359;1459;1678;1747;1632;1671;1690;1532;1468;1530;1259;1055;845;627;525;345;379;20801
"311450 Carmópolis de Minas";1085;1326;1503;1488;1538;1417;1345;1293;1285;1149;1018;755;673;466;436;318;266;17361
"311455 Carneirinho";600;711;764;754;796;804;787;762;691;641;562;484;419;298;217;165;190;9645
"311460 Carrancas";256;310;349;358;278;281;264;257;266;298;270;239;172;137;127;83;76;4021
"311470 Carvalhópolis";214;243;307;239;237;241;222;228;260;225;229;202;158;114;94;91;98;3402
"311480 Carvalhos";215;284;368;417;360;304;299;302;377;384;311;281;215;171;135;104;113;4640
"311490 Casa Grande";132;170;196;185;171;199;181;186;166;141;122;93;109;79;69;34;52;2285
"311500 Cascalho Rico";202;191;235;199;204;198;238;225;211;207;176;148;142;140;84;55;54;2909
"311510 Cássia";1118;1346;1457;1580;1341;1325;1257;1242;1167;1154;1154;1014;818;594;475;321;369;17732
"311530 Cataguases";4105;4559;5397;5713;5744;5593;5403;5116;5233;5370;4740;3789;2983;2407;1894;1407;1586;71039
"311535 Catas Altas";351;415;488;427;393;378;464;379;357;304;268;196;170;121;91;61;72;4935
"311540 Catas Altas da Noruega";225;276;340;360;314;299;262;248;230;187;180;153;137;115;79;52;69;3526
"311545 Catuji";605;721;796;773;610;497;443;388;377;335;304;263;204;158;141;101;115;6831
"311547 Catuti";375;476;572;568;407;369;359;350;359;322;248;222;169;151;121;69;59;5196
"311550 Caxambu";1352;1577;1780;1845;1580;1733;1592;1533;1514;1527;1450;1207;983;824;607;467;533;22104
"311560 Cedro do Abaeté";64;95;114;100;76;81;76;107;69;88;79;73;54;47;56;33;20;1232
"311570 Central de Minas";427;526;597;589;492;475;500;482;469;476;408;359;295;273;218;143;167;6896
"311580 Centralina";692;735;856;829;898;793;822;759;737;686;612;511;442;370;301;209;203;10455
"311590 Chácara";141;200;266;239;193;183;176;177;220;231;196;157;131;113;99;68;53;2843
"311600 Chalé";370;437;515;472;491;488;438;396;363;375;322;309;205;166;140;123;139;5749
"311610 Chapada do Norte";1287;1597;1790;1885;1633;1273;1020;916;819;710;598;571;441;335;271;163;159;15468
"311615 Chapada Gaúcha";1089;1194;1251;1247;1176;1015;749;615;508;482;406;383;254;239;165;115;116;11004
"311620 Chiador";195;213;243;212;238;179;193;176;198;218;170;153;136;114;78;57;63;2836
"311630 Cipotânea";386;480;614;649;620;511;484;443;446;461;337;259;260;225;189;152;151;6667
"311640 Claraval";341;384;405;408;380;373;325;303;274;295;304;260;199;148;110;63;53;4625
