"Município";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"311840 Conselheiro Pena";1560;1684;1900;1973;1798;1655;1594;1562;1520;1472;1349;1200;1012;802;629;465;568;22743
"311850 Consolação";103;115;132;141;140;116;114;116;116;128;117;98;86;79;63;52;47;1763
"311860 Contagem";40072;41912;47506;53143;55164;58816;58808;52668;46072;42477;37567;31162;23284;16477;11340;7610;7470;631548
"311870 Coqueiral";558;630;770;819;753;693;646;625;627;630;628;548;436;312;250;206;226;9357
"311880 Coração de Jesus";2019;2064;2263;2469;2379;2192;2039;1785;1654;1646;1442;1194;994;815;638;452;497;26542
"311890 Cordisburgo";475;519;605;700;745;714;675;640;610;611;560;507;430;336;280;212;229;8848
"311900 Cordislândia";256;267;292;308;278;258;249;234;241;229;213;189;159;126;90;60;63;3512
"311910 Corinto";1573;1730;1972;2054;1909;1821;1767;1636;1565;1608;1566;1349;1069;793;650;495;584;24141
"311920 Coroaci";614;703;898;980;874;791;745;678;657;609;581;528;410;361;333;248;289;10299
"311930 Coromandel";1632;1751;2025;2216;2169;2131;2130;2114;2164;2141;1905;1620;1313;987;728;489;511;28026
"311940 Coronel Fabriciano";6942;7388;8344;9036;9030;9283;8997;8061;7351;7199;6695;5661;4198;3036;2298;1701;1833;107053
"311950 Coronel Murta";624;689;800;851;820;769;722;602;547;538;525;457;345;278;243;203;250;9263
"311960 Coronel Pacheco";160;177;211;239;241;228;225;218;214;241;222;181;146;117;87;67;80;3054
"311970 Coronel Xavier Chaves";224;232;237;263;258;239;266;265;233;242;236;176;150;128;95;73;69;3386
"311980 Córrego Danta";168;205;244;237;225;219;215;222;240;251;252;217;189;170;132;93;93;3372
"311990 Córrego do Bom Jesus";175;195;229;252;259;243;228;256;253;274;278;258;243;210;162;120;132;3767
"311995 Córrego Fundo";331;377;449;477;483;503;543;502;450;442;388;306;250;182;151;115;98;6047
"312000 Córrego Novo";215;235;243;238;236;223;221;208;187;199;202;175;145;105;69;59;83;3043
"312010 Couto de Magalhães de Minas";302;315;364;424;397;333;302;295;284;275;247;201;163;131;107;87;98;4325
"312015 Crisólita";524;536;604;631;574;490;463;413;377;356;296;242;208;197;170;133;131;6345
"312020 Cristais";817;842;896;935;957;1045;997;894;791;739;700;615;507;394;315;239;256;11939
"312030 Cristália";553;600;703;701;618;524;419;341;305;269;223;182;145;111;75;63;70;5902
"312040 Cristiano Otoni";352;389;443;448;425;399;427;400;334;338;293;250;205;148;110;82;74;5117
"312050 Cristina";612;664;768;848;848;808;758;751;749;750;676;550;455;381;287;206;234;10345
"312060 Crucilândia";282;317;360;371;346;351;373;355;370;376;320;277;234;181;143;111;142;4909
"312070 Cruzeiro da Fortaleza";315;324;345;365;338;302;282;286;300;276;227;184;151;111;90;72;87;4055
"312080 Cruzília";850;951;1179;1342;1272;1122;1039;985;1059;1089;1004;855;675;534;428;334;332;15050
"312083 Cuparaque";366;383;405;419;399;379;354;338;328;314;288;241;190;146;107;86;97;4840
"312087 Curral de Dentro";605;637;726;709;651;598;545;488;419;385;336;315;262;209;160;104;126;7275
"312090 Curvelo";4907;5381;6198;6728;6709;6423;6011;5499;5306;5242;4652;3756;2988;2333;1816;1383;1660;76992
"312100 Datas";391;422;477;523;492;407;363;344;352;353;309;255;185;145;122;94;108;5342
"312110 Delfim Moreira";475;529;660;722;626;582;560;555;614;641;573;459;364;245;187;136;158;8086
"312120 Delfinópolis";441;484;557;592;549;498;536;531;520;487;449;393;315;233;172;115;138;7010
"312125 Delta";831;804;787;811;916;1017;907;751;556;443;341;280;203;149;104;60;62;9022
"312130 Descoberto";288;307;356;405;405;400;391;314;310;329;309;288;241;171;138;114;144;4910
"312140 Desterro de Entre Rios";381;429;487;544;541;520;510;488;510;522;493;417;352;314;257;196;208;7169
"312150 Desterro do Melo";163;173;198;225;230;217;219;228;221;226;212;180;149;121;88;70;92;3012
"312160 Diamantina";3061;3357;3964;4522;4630;4331;3781;3294;3024;2996;2642;2020;1563;1210;978;761;931;47065
"312170 Diogo de Vasconcelos";233;266;326;333;304;242;233;263;263;241;226;222;180;151;123;110;163;3879
"312180 Dionísio";465;522;620;693;678;659;641;583;592;594;558;459;393;332;254;196;261;8500
"312190 Divinésia";243;253;254;274;278;249;238;216;223;243;236;197;138;94;80;73;87;3376
